iter	RMSE
700	0.140601831
701	0.1400270507
702	0.1394546201
703	0.1388845296
704	0.1383167697
705	0.1377513307
706	0.1371882033
707	0.1366273779
708	0.1360688452
709	0.1355125958
710	0.1349586203
711	0.1344069095
712	0.1338574541
713	0.1333102448
714	0.1327652725
715	0.1322225281
716	0.1316820024
717	0.1311436864
718	0.130607571
719	0.1300736473
720	0.1295419062
721	0.1290123389
722	0.1284849365
723	0.1279596901
724	0.1274365909
725	0.1269156301
726	0.126396799
727	0.1258800889
728	0.1253654911
729	0.124852997
730	0.1243425979
731	0.1238342854
732	0.1233280509
733	0.1228238858
734	0.1223217818
735	0.1218217303
736	0.1213237231
737	0.1208277517
738	0.1203338079
739	0.1198418833
740	0.1193519697
741	0.1188640588
742	0.1183781426
743	0.1178942127
744	0.1174122612
745	0.1169322799
746	0.1164542607
747	0.1159781957
748	0.1155040769
749	0.1150318962
750	0.1145616458
751	0.1140933178
752	0.1136269044
753	0.1131623976
754	0.1126997897
755	0.112239073
756	0.1117802396
757	0.111323282
758	0.1108681925
759	0.1104149633
760	0.1099635869
761	0.1095140558
762	0.1090663624
763	0.1086204991
764	0.1081764585
765	0.1077342331
766	0.1072938156
767	0.1068551985
768	0.1064183744
769	0.1059833361
770	0.1055500763
771	0.1051185876
772	0.1046888628
773	0.1042608947
774	0.1038346762
775	0.1034102
776	0.1029874591
777	0.1025664464
778	0.1021471548
779	0.1017295772
780	0.1013137067
781	0.1008995363
782	0.100487059
783	0.1000762679
784	0.09966715614
785	0.09925971681
786	0.09885394309
787	0.09844982818
788	0.09804736529
789	0.09764654767
790	0.09724736859
791	0.09684982135
792	0.09645389929
793	0.09605959576
794	0.09566690413
795	0.09527581784
796	0.0948863303
797	0.09449843499
798	0.09411212539
799	0.09372739503
800	0.09334423745
801	0.09296264621
802	0.09258261492
803	0.0922041372
804	0.09182720669
805	0.09145181708
806	0.09107796206
807	0.09070563535
808	0.09033483072
809	0.08996554194
810	0.08959776281
811	0.08923148716
812	0.08886670885
813	0.08850342175
814	0.08814161977
815	0.08778129683
816	0.0874224469
817	0.08706506394
818	0.08670914197
819	0.086354675
820	0.0860016571
821	0.08565008233
822	0.0852999448
823	0.08495123863
824	0.08460395797
825	0.084258097
826	0.0839136499
827	0.08357061091
828	0.08322897426
829	0.08288873422
830	0.08254988508
831	0.08221242115
832	0.08187633678
833	0.08154162632
834	0.08120828416
835	0.0808763047
836	0.08054568237
837	0.08021641163
838	0.07988848694
839	0.07956190281
840	0.07923665376
841	0.07891273432
842	0.07859013907
843	0.07826886259
844	0.07794889948
845	0.07763024439
846	0.07731289196
847	0.07699683686
848	0.0766820738
849	0.07636859748
850	0.07605640266
851	0.07574548409
852	0.07543583656
853	0.07512745487
854	0.07482033384
855	0.07451446832
856	0.07420985317
857	0.0739064833
858	0.0736043536
859	0.07330345901
860	0.07300379447
861	0.07270535497
862	0.07240813548
863	0.07211213103
864	0.07181733664
865	0.07152374738
866	0.0712313583
867	0.07094016451
868	0.07065016113
869	0.07036134327
870	0.07007370611
871	0.0697872448
872	0.06950195455
873	0.06921783056
874	0.06893486808
875	0.06865306234
876	0.06837240863
877	0.06809290223
878	0.06781453845
879	0.06753731262
880	0.06726122009
881	0.06698625623
882	0.06671241642
883	0.06643969606
884	0.06616809059
885	0.06589759544
886	0.06562820607
887	0.06535991797
888	0.06509272663
889	0.06482662757
890	0.06456161632
891	0.06429768844
892	0.06403483949
893	0.06377306507
894	0.06351236079
895	0.06325272226
896	0.06299414514
897	0.06273662508
898	0.06248015776
899	0.06222473888
900	0.06197036415
901	0.0617170293
902	0.06146473009
903	0.06121346228
904	0.06096322165
905	0.06071400401
906	0.06046580516
907	0.06021862095
908	0.05997244724
909	0.05972727988
910	0.05948311476
911	0.05923994779
912	0.05899777489
913	0.05875659199
914	0.05851639505
915	0.05827718003
916	0.05803894292
917	0.05780167972
918	0.05756538646
919	0.05733005917
920	0.05709569389
921	0.0568622867
922	0.05662983367
923	0.05639833092
924	0.05616777454
925	0.05593816069
926	0.05570948549
927	0.05548174512
928	0.05525493575
929	0.05502905357
930	0.05480409481
931	0.05458005567
932	0.05435693241
933	0.05413472127
934	0.05391341853
935	0.05369302048
936	0.05347352342
937	0.05325492366
938	0.05303721753
939	0.05282040139
940	0.0526044716
941	0.05238942452
942	0.05217525656
943	0.05196196411
944	0.0517495436
945	0.05153799147
946	0.05132730417
947	0.05111747815
948	0.05090850991
949	0.05070039592
950	0.05049313271
951	0.05028671678
