iter	Passed	Remaining
592	22159	15208
593	22188	15165
594	22219	15124
595	22244	15078
596	22270	15033
597	22295	14988
598	22321	14943
599	22348	14898
600	22376	14855
601	22406	14813
602	22434	14770
603	22459	14725
604	22486	14681
605	22512	14636
606	22538	14592
607	22564	14548
608	22594	14506
609	22619	14461
610	22646	14418
611	22676	14376
612	22702	14332
613	22727	14288
614	22755	14245
615	22784	14203
616	22809	14158
617	22880	14142
618	22904	14097
619	22927	14052
620	22954	14009
621	22983	13967
622	23013	13926
623	23047	13887
624	23081	13848
625	23113	13809
626	23140	13766
627	23187	13735
628	23214	13692
629	23239	13648
630	23269	13607
631	23303	13568
632	23330	13526
633	23356	13483
634	23384	13441
635	23408	13397
636	23437	13356
637	23467	13315
638	23500	13276
639	23533	13237
640	23565	13197
641	23596	13158
642	23631	13120
643	23681	13090
644	23705	13047
645	23735	13006
646	23766	12966
647	23801	12929
648	23830	12888
649	23858	12846
650	23885	12805
651	23928	12771
652	23959	12732
653	23990	12692
654	24020	12652
655	24047	12610
656	24074	12568
657	24102	12527
658	24128	12485
659	24154	12443
660	24185	12403
661	24217	12365
662	24247	12324
663	24279	12285
664	24309	12246
665	24336	12204
666	24365	12164
667	24414	12134
668	24451	12097
669	24482	12058
670	24515	12020
671	24551	11983
672	24582	11944
673	24610	11903
674	24643	11865
675	24676	11827
676	24708	11788
677	24747	11753
678	24780	11715
679	24811	11675
680	24842	11637
681	24872	11597
682	24902	11558
683	24930	11517
684	24960	11478
685	24996	11441
686	25027	11402
687	25057	11363
688	25081	11321
689	25112	11282
690	25145	11244
691	25174	11204
692	25201	11164
693	25230	11124
694	25281	11094
695	25313	11056
696	25359	11024
697	25407	10993
698	25458	10962
699	25488	10923
700	25510	10881
701	25540	10841
702	25567	10801
703	25604	10765
704	25636	10727
705	25665	10688
706	25692	10647
707	25718	10607
708	25745	10566
709	25771	10526
710	25800	10487
711	25829	10447
712	25860	10409
713	25885	10368
714	25910	10327
715	25937	10288
716	25960	10246
717	26001	10212
718	26024	10170
719	26055	10132
720	26096	10098
721	26135	10063
722	26161	10023
723	26188	9983
724	26212	9942
725	26238	9902
726	26266	9863
727	26295	9824
728	26324	9785
729	26359	9749
730	26388	9710
731	26419	9672
732	26447	9633
733	26473	9593
734	26506	9556
735	26552	9524
736	26586	9487
737	26617	9449
738	26646	9411
739	26675	9372
740	26704	9334
741	26738	9297
742	26775	9261
